time_k,knee_angle_r,ankle_angle_r,time_p,pn_kol,pp_kol,pn_kos,pp_kos
0,0.0453786,0.00000468,0,27.32966882,30.7099176,9.01905418,3.90071793
0.03,0.0453786,0.00000468,0.02,19.26709879,23.25538896,8.89695859,3.59014479
0.07,4.068083,0.95600255,0.05,10.65794954,15.03729857,8.68233435,3.37805039
0.1,15.74599237,5.80299976,0.08,1.95052035,6.5138853,8.27939845,3.20419706
0.13,15.74599237,5.80299976,0.11,-6.28318491,-1.57829085,7.83778135,3.03496563
0.17,18.29198858,7.57699963,0.14,-13.74654645,-8.89259272,7.47287765,2.85214223
0.2,22.18498379,9.95499863,0.17,-20.02756361,-14.99823525,6.85420622,2.32334318
0.23,32.88797907,12.57899566,0.2,-24.9030593,-19.69436818,5.82606479,1.35373032
0.27,38.0769683,14.79499096,0.23,-29.30797242,-23.89091706,4.71685463,0.22591158
0.3,44.72769168,16.47299276,0.26,-34.65042985,-28.95559024,4.37553697,-0.27578018
0.33,50.47799008,18.29399494,0.29,-39.82352878,-33.86038899,5.50910306,0.65187211
0.37,56.51399544,20.18699512,0.32,-43.91895462,-37.76613114,7.697788,2.69092336
0.4,61.96000959,21.1299931,0.35,-47.87104196,-41.53929611,9.9964437,4.81229207
0.43,67.96001397,22.28998501,0.38,-52.60359332,-46.05537184,11.83029578,6.36053333
0.47,70.2400066,24.05898639,0.41,-57.99128038,-51.25417141,13.20390738,7.45253838
0.5,72.70800328,24.32098851,0.44,-62.55083961,-55.66345198,14.64262552,8.69857296
0.53,77.08800157,26.11199289,0.47,-66.2838915,-59.16850928,16.57671617,10.40242444
0.57,79.56593324,26.56696802,0.5,-70.51441509,-63.03323118,18.82052593,12.29915527
0.6,88.99996624,26.49997709,0.53,-73.27700504,-65.50543806,20.59607463,13.81527503
0.63,92.9999793,27.99998646,0.56,-71.49458678,-63.82898864,20.90244752,14.19563166
0.67,101.5019994,28.99998934,0.59,-67.45622048,-60.24232522,19.21588501,12.82867279
0.7,104.0000284,29.99999013,0.62,-67.55950593,-60.70515969,16.24381165,10.10451293
